time_period,location,disease_cases,population,t2m_mean_c_month,tp_sum_mm_month
1999-06,VNM_ADM1_0038,0.0,630925.0996168219,23.930421514700704,9.025091094651575
1999-07,VNM_ADM1_0038,0.0,630925.0996168219,24.18261807866668,6.210881390203313
1999-08,VNM_ADM1_0038,0.0,630925.0996168219,23.08567761639789,10.483053701861268
1999-09,VNM_ADM1_0038,1.0,630925.0996168219,22.264589703204297,6.067182514939968
1999-10,VNM_ADM1_0038,0.0,630925.0996168219,20.17827241227932,5.751895149139711
1999-11,VNM_ADM1_0038,1.0,630925.0996168219,16.791701505994492,3.515977847999831
1999-12,VNM_ADM1_0038,0.0,630925.0996168219,11.754895971847406,2.162777876107653
2000-01,VNM_ADM1_0038,0.0,630925.0996168219,13.340029492627522,1.92610738929806
2000-02,VNM_ADM1_0038,0.0,630925.0996168219,12.570254707484594,4.474250430164984
2000-03,VNM_ADM1_0038,0.0,630925.0996168219,17.526587883355635,2.8818345100110263
2000-04,VNM_ADM1_0038,0.0,630925.0996168219,21.12403154420401,5.246489524428622
2000-05,VNM_ADM1_0038,0.0,630925.0996168219,22.061541368875822,8.037010811206796
2000-06,VNM_ADM1_0038,0.0,630925.0996168219,22.5879370492994,9.856068167546198
2000-07,VNM_ADM1_0038,0.0,630925.0996168219,23.545502449717144,11.2513945676365
2000-08,VNM_ADM1_0038,0.0,630925.0996168219,23.514822476609357,8.491680136190356
2000-09,VNM_ADM1_0038,0.0,630925.0996168219,21.64343534203872,5.885330032217792
2000-10,VNM_ADM1_0038,0.0,630925.0996168219,20.055570942833757,6.889700029759831
2000-11,VNM_ADM1_0038,0.0,630925.0996168219,16.453888047626027,1.2500974479086586
2000-12,VNM_ADM1_0038,0.0,630925.0996168219,14.425076244917792,2.4159320617571414
2001-01,VNM_ADM1_0038,0.0,630925.0996168219,13.686635261626984,2.0778188873065595
2001-02,VNM_ADM1_0038,0.0,630925.0996168219,13.69817508772472,3.4052384875648984
2001-03,VNM_ADM1_0038,0.0,630925.0996168219,17.71874951109537,3.9612354120197377
2001-04,VNM_ADM1_0038,0.0,630925.0996168219,21.800487306434395,4.133169385584454
2001-05,VNM_ADM1_0038,0.0,630925.0996168219,21.741016335521465,9.344287698980809
2001-06,VNM_ADM1_0038,0.0,630925.0996168219,23.694118027717533,10.691828890350514
2001-07,VNM_ADM1_0038,0.0,630925.0996168219,23.620838330964336,16.086680373186176
2001-08,VNM_ADM1_0038,0.0,630925.0996168219,23.491932579727,9.679296889595982
2001-09,VNM_ADM1_0038,0.0,630925.0996168219,22.84519350161037,5.385977660841201
2001-10,VNM_ADM1_0038,3.0,630925.0996168219,20.28341166097863,5.238909579829384
2001-11,VNM_ADM1_0038,0.0,630925.0996168219,15.661222576106155,1.4493220034283365
2001-12,VNM_ADM1_0038,0.0,630925.0996168219,13.721766844509595,1.1254118779994893
2002-01,VNM_ADM1_0038,0.0,630925.0996168219,12.842354813698789,2.7478793758025613
2002-02,VNM_ADM1_0038,0.0,630925.0996168219,15.122808791032442,2.851917828193642
2002-03,VNM_ADM1_0038,0.0,630925.0996168219,18.658471401245585,3.618216411404177
2002-04,VNM_ADM1_0038,0.0,630925.0996168219,22.18897290827754,3.729095906455082
2002-05,VNM_ADM1_0038,0.0,630925.0996168219,22.21259831857849,12.063489174829202
2002-06,VNM_ADM1_0038,0.0,630925.0996168219,23.76489198678624,14.53873998126793
2002-07,VNM_ADM1_0038,0.0,630925.0996168219,23.81060437912197,12.820645158226371
2002-08,VNM_ADM1_0038,0.0,630925.0996168219,22.944765916207565,11.03694739933224
2002-09,VNM_ADM1_0038,0.0,630925.0996168219,22.44516971766395,4.558854066174234
2002-10,VNM_ADM1_0038,0.0,630925.0996168219,20.02502113678091,3.7911820008770754
2002-11,VNM_ADM1_0038,0.0,630925.0996168219,16.402602103692683,2.891700766276143
2002-12,VNM_ADM1_0038,0.0,630925.0996168219,13.79021189854041,2.877843794623679
2003-01,VNM_ADM1_0038,0.0,630925.0996168219,12.18344322490484,2.8953471872558088
2003-02,VNM_ADM1_0038,0.0,630925.0996168219,16.21478256531617,3.379900796010358
2003-03,VNM_ADM1_0038,0.0,630925.0996168219,17.749832602175488,2.859575107566579
2003-04,VNM_ADM1_0038,0.0,630925.0996168219,22.269636889355706,4.04979844476094
2003-05,VNM_ADM1_0038,0.0,630925.0996168219,23.53310099310112,7.50437360132935
2003-06,VNM_ADM1_0038,0.0,630925.0996168219,23.814045376356663,9.21378826819743
2003-07,VNM_ADM1_0038,0.0,630925.0996168219,24.16910390046443,7.583743059708085
2003-08,VNM_ADM1_0038,0.0,630925.0996168219,23.867137353869424,12.026450503949183
2003-09,VNM_ADM1_0038,0.0,630925.0996168219,22.16114880873665,6.971752257043828
2003-10,VNM_ADM1_0038,0.0,630925.0996168219,20.246834247249996,2.6510955155665297
2003-11,VNM_ADM1_0038,0.0,630925.0996168219,17.343197632851208,1.631885078816618
2003-12,VNM_ADM1_0038,0.0,630925.0996168219,13.025422410240107,1.9303137207709544
2004-01,VNM_ADM1_0038,0.0,630925.0996168219,12.419805660114854,2.582108560064789
2004-02,VNM_ADM1_0038,0.0,630925.0996168219,14.016729988069272,2.4751173950727394
2004-03,VNM_ADM1_0038,0.0,630925.0996168219,17.801404114120874,2.782722694765244
2004-04,VNM_ADM1_0038,0.0,630925.0996168219,20.499396407411112,8.898252792799113
2004-05,VNM_ADM1_0038,0.0,630925.0996168219,21.763053594982097,9.558246280533556
2004-06,VNM_ADM1_0038,0.0,630925.0996168219,23.49896714643808,5.578200602596842
2004-07,VNM_ADM1_0038,0.0,630925.0996168219,23.4752487232888,10.661575449479118
2004-08,VNM_ADM1_0038,1.0,630925.0996168219,23.78536524333413,9.602424081183502
2004-09,VNM_ADM1_0038,0.0,630925.0996168219,22.14608741990183,6.815729523733436
2004-10,VNM_ADM1_0038,0.0,630925.0996168219,19.59733177537797,0.9986960692209972
2004-11,VNM_ADM1_0038,0.0,630925.0996168219,16.953205638291546,3.3020542671593187
2004-12,VNM_ADM1_0038,0.0,630925.0996168219,13.347025110134954,1.0489215622582224
2005-01,VNM_ADM1_0038,0.0,630925.0996168219,12.24476653265128,2.315063081200321
2005-02,VNM_ADM1_0038,0.0,630925.0996168219,15.758461659358076,2.5055288221912835
2005-03,VNM_ADM1_0038,0.0,630925.0996168219,16.33447362491993,4.387626423882882
2005-04,VNM_ADM1_0038,0.0,630925.0996168219,21.02357480001105,4.584161469069102
2005-05,VNM_ADM1_0038,0.0,630925.0996168219,24.603477404439232,5.260141904672865
2005-06,VNM_ADM1_0038,1.0,630925.0996168219,24.2075255392039,9.85410524475962
2005-07,VNM_ADM1_0038,0.0,630925.0996168219,23.749809826981902,9.671819409346927
